UNITID,EFALEVEL,LINE,SECTION,LSTUDY,XEFTOTLT,EFTOTLT,XEFTOTLM,EFTOTLM,XEFTOTLW,EFTOTLW,XEFAIANT,EFAIANT,XEFAIANM,EFAIANM,XEFAIANW,EFAIANW,XEFASIAT,EFASIAT,XEFASIAM,EFASIAM,XEFASIAW,EFASIAW,XEFBKAAT,EFBKAAT,XEFBKAAM,EFBKAAM,XEFBKAAW,EFBKAAW,XEFHISPT,EFHISPT,XEFHISPM,EFHISPM,XEFHISPW,EFHISPW,XEFNHPIT,EFNHPIT,XEFNHPIM,EFNHPIM,XEFNHPIW,EFNHPIW,XEFWHITT,EFWHITT,XEFWHITM,EFWHITM,XEFWHITW,EFWHITW,XEF2MORT,EF2MORT,XEF2MORM,EF2MORM,XEF2MORW,EF2MORW,XEFUNKNT,EFUNKNT,XEFUNKNM,EFUNKNM,XEFUNKNW,EFUNKNW,XEFNRALT,EFNRALT,XEFNRALM,EFNRALM,XEFNRALW,EFNRALW,XEFGNDRUN,EFGNDRUN,XEFGNDRAN,EFGNDRAN,XEFGNDRUA,EFGNDRUA,XEFGNDRKN,EFGNDRKN
100654,1,29,3,4,R,7295,R,2959,R,4336,R,6,R,2,R,4,R,16,R,5,R,11,R,6326,R,2531,R,3795,R,156,R,68,R,88,R,5,R,2,R,3,R,174,R,75,R,99,R,155,R,60,R,95,R,231,R,82,R,149,R,226,R,134,R,92,R,12,A,,R,12,R,7283
100654,2,99,3,1,R,6370,R,2655,R,3715,R,6,R,2,R,4,R,14,R,5,R,9,R,5678,R,2331,R,3347,R,154,R,68,R,86,R,5,R,2,R,3,R,129,R,61,R,68,R,154,R,59,R,95,R,83,R,36,R,47,R,147,R,91,R,56,R,3,A,,R,3,R,6367
100654,3,99,3,1,R,6124,R,2585,R,3539,R,6,R,2,R,4,R,12,R,4,R,8,R,5521,R,2291,R,3230,R,126,R,57,R,69,R,5,R,2,R,3,R,96,R,49,R,47,R,138,R,54,R,84,R,74,R,35,R,39,R,146,R,91,R,55,A,,A,,A,,A,
100654,4,99,3,1,R,1968,R,832,R,1136,R,1,R,0,R,1,R,2,R,2,R,0,R,1824,R,762,R,1062,R,44,R,20,R,24,R,0,R,0,R,0,R,20,R,11,R,9,R,52,R,22,R,30,R,0,R,0,R,0,R,25,R,15,R,10,A,,A,,A,,A,
100654,5,99,3,1,R,4156,R,1753,R,2403,R,5,R,2,R,3,R,10,R,2,R,8,R,3697,R,1529,R,2168,R,82,R,37,R,45,R,5,R,2,R,3,R,76,R,38,R,38,R,86,R,32,R,54,R,74,R,35,R,39,R,121,R,76,R,45,A,,A,,A,,A,
100654,11,99,3,1,R,246,R,70,R,176,R,0,R,0,R,0,R,2,R,1,R,1,R,157,R,40,R,117,R,28,R,11,R,17,R,0,R,0,R,0,R,33,R,12,R,21,R,16,R,5,R,11,R,9,R,1,R,8,R,1,R,0,R,1,A,,A,,A,,A,
100654,12,99,3,3,R,925,R,304,R,621,R,0,R,0,R,0,R,2,R,0,R,2,R,648,R,200,R,448,R,2,R,0,R,2,R,0,R,0,R,0,R,45,R,14,R,31,R,1,R,1,R,0,R,148,R,46,R,102,R,79,R,43,R,36,R,9,A,,R,9,R,916
100654,19,99,3,1,R,225,R,104,R,121,R,0,R,0,R,0,R,0,R,0,R,0,R,158,R,69,R,89,R,13,R,6,R,7,R,1,R,1,R,0,R,17,R,7,R,10,R,11,R,6,R,5,R,0,R,0,R,0,R,25,R,15,R,10,A,,A,,A,,A,
100654,20,99,3,1,R,3931,R,1649,R,2282,R,5,R,2,R,3,R,10,R,2,R,8,R,3539,R,1460,R,2079,R,69,R,31,R,38,R,4,R,1,R,3,R,59,R,31,R,28,R,75,R,26,R,49,R,74,R,35,R,39,R,96,R,61,R,35,A,,A,,A,,A,
100654,21,14,1,4,R,6291,R,2560,R,3731,R,5,R,2,R,3,R,11,R,4,R,7,R,5554,R,2233,R,3321,R,122,R,54,R,68,R,5,R,2,R,3,R,116,R,49,R,67,R,129,R,50,R,79,R,150,R,48,R,102,R,199,R,118,R,81,A,,A,,A,,A,
100654,22,8,1,1,R,5673,R,2376,R,3297,R,5,R,2,R,3,R,10,R,4,R,6,R,5120,R,2109,R,3011,R,120,R,54,R,66,R,5,R,2,R,3,R,84,R,42,R,42,R,128,R,49,R,79,R,65,R,28,R,37,R,136,R,86,R,50,A,,A,,A,,A,
100654,23,6,1,1,R,5668,R,2375,R,3293,R,5,R,2,R,3,R,9,R,4,R,5,R,5117,R,2109,R,3008,R,120,R,54,R,66,R,5,R,2,R,3,R,83,R,41,R,42,R,128,R,49,R,79,R,65,R,28,R,37,R,136,R,86,R,50,A,,A,,A,,A,
100654,24,1,1,1,R,1939,R,818,R,1121,R,1,R,0,R,1,R,2,R,2,R,0,R,1804,R,753,R,1051,R,44,R,20,R,24,R,0,R,0,R,0,R,17,R,10,R,7,R,52,R,22,R,30,R,0,R,0,R,0,R,19,R,11,R,8,A,,A,,A,,A,
100654,25,99,1,1,R,3729,R,1557,R,2172,R,4,R,2,R,2,R,7,R,2,R,5,R,3313,R,1356,R,1957,R,76,R,34,R,42,R,5,R,2,R,3,R,66,R,31,R,35,R,76,R,27,R,49,R,65,R,28,R,37,R,117,R,75,R,42,A,,A,,A,,A,
100654,31,7,1,1,R,5,R,1,R,4,R,0,R,0,Z,0,R,1,R,0,R,1,R,3,R,0,R,3,R,0,R,0,Z,0,R,0,R,0,R,0,R,1,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,A,,A,,A,,A,
100654,32,11,1,3,R,618,R,184,R,434,R,0,R,0,R,0,R,1,R,0,R,1,R,434,R,124,R,310,R,2,R,0,R,2,R,0,R,0,R,0,R,32,R,7,R,25,R,1,R,1,R,0,R,85,R,20,R,65,R,63,R,32,R,31,A,,A,,A,,A,
100654,39,2,1,1,R,206,R,97,R,109,R,0,R,0,R,0,R,0,R,0,R,0,R,147,R,65,R,82,R,12,R,5,R,7,R,1,R,1,R,0,R,15,R,7,R,8,R,7,R,5,R,2,R,0,R,0,R,0,R,24,R,14,R,10,A,,A,,A,,A,
100654,40,3,1,1,R,3523,R,1460,R,2063,R,4,R,2,R,2,R,7,R,2,R,5,R,3166,R,1291,R,1875,R,64,R,29,R,35,R,4,R,1,R,3,R,51,R,24,R,27,R,69,R,22,R,47,R,65,R,28,R,37,R,93,R,61,R,32,A,,A,,A,,A,
